Item,Qty,Reference(s),Value,DESCRIPTION,MPN
1,5,"C3, C5, C25, C26, C30",10uf,CAP CER 10UF 25V X5R 0805,C0805C106M3PAC7800
2,10,"C4, C10, C13, C14, C15, C17, C18, C19, C23, C24",0.1uF,CAP CER 0.1UF 50V X7R 0603,C0603C104M5RAC7867
3,3,"C6, C9, C12",1uF,CAP CER 1UF 16V X7R 0603,CL10B105MO8NNWC
4,4,"C7, C8, C21, C22",10pF,CAP CER 10PF 50V X7R 0603,C0603C100K5RACAUTO
5,3,"C11, C16, C302",10uF,CAP CER 10UF 16V X5R 0805,CL21A106KOQNNNE
6,1,C27,0.47uf,CAP CER 0.47UF 6.3V X7R 0805,CGJ4J2X7R0J474K125AA
7,1,C28,0.01uf,CAP CER SMD 0805 .01UF 100V X7R,C0805C103K1RAC7210
8,3,"C29, C34, C35",0.1uf,CAP CER 0.1UF 16V X7R 0805,"0805 (2012 Metric) 0,94mm"
9,1,C31,10uf,CAP ALUM 10UF 20% 50V SMD,50TZV10M5X6.1
10,2,"C32, C33",5.6nf,CAP CER 1206 5.6NF 1000V X7R 10%,C1206C562KDRACAUTO
11,8,"C36, C37, C38, C39, C40, C41, C42, C43",DNP,,
12,1,D2,D_Small,DIODE SCHOTTKY 30V 1.5A SOD123F,"PMEG3015EH,115"
13,2,"D301, D308",GRN,LED GREEN DIFFUSED 0603 SMD,LT Q39E-Q1OO-25-1
14,1,D302,RED,LED RED CLEAR 0603 SMD,IN-S63ATR
16,1,J2,,,
17,1,J4,DTM1312PA12PBR008,CONN HEADER R/A 24POS,DTM1312PA12PBR008
19,1,J304,U.FL-R-SMT-1(10),U.FL Series 6 Ghz 50 Ohm Ultra-small SMT Coaxial Cable Receptacle,U.FL-R-SMT-1(10)
20,1,JP2,LED Voltage Select,,
21,1,L2,10uh,FIXED IND 10UH 1.9A 78 MOHM SMD,SRN6028-100M
22,1,L3,6.8uh,FIXED IND 6.8UH 2.2A 63 MOHM SMD,SRN6028-6R8M
23,2,"MOD301, PAU301",SW_SPST,SWITCH TACTILE SPST-NO 0.05A 12V,RS-032G05A3-SM RT
24,3,"Q2, Q5, Q7",Q_Dual_NMOS_S1G1S2G2D2D2D1D1,MOSFET N-CH 25V 8A 8SO,STS8DNF3LL
25,1,R2,36k,RES 36K OHM 5% 1/10W 0603,RMCF0603JT36K0
26,5,"R3, R5, R11, R12, R15",1k,RES 1K OHM 5% 1/10W 0603,RMCF0603JT1K00
27,1,R4,"10k,DNF",RES 10K OHM 5% 1/10W 0603,RMCF0603JT10K0
28,2,"R6, R7",27.4,RES 27.4 OHM 1% 1/10W 0603,RMCF0603FT27R4
29,5,"R8, R9, R16, R19, R23",10k,RES 240 OHM 5% 1/10W 0603,RC0603JR-07240RL
30,2,"R10, R13",200k,RES 200K OHM 5% 1/10W 0603,RMCF0603JT200K
31,2,"R14, R17",14k,RES 14K OHM 1% 1/10W 0603,RMCF0603FT14K0
32,2,"R18, R20",52.3k,RES 52.3K OHM 1% 1/10W 0603,RMCF0603FT52K3
33,3,"R21, R22, R91",240,RES 240 OHM 5% 1/10W 0603,RC0603JR-07240RL
34,1,R104,"120,DNF",RES 120 OHM 1% 1/10W 0603,RMCF0603FT120R
39,1,U2,SN65HVD230,IC TRANSCEIVER HALF 1/1 8SOIC,SN65HVD230D
40,2,"U3, U6",AP64200Q,DCDC CONV HV BUCK SO-8EP T&R 4K,AP64200QSP-13
41,1,U4,DRV8844PWP,IC MTR DRV BIPOLR 8-60V 28HTSSOP,DRV8844PWP
42,1,U5,MCP2515-xST,IC CAN CONTROLLER W/SPI 20TSSOP,MCP2515-I/ST
43,1,U7,W25Q128JVS,IC FLASH 128MBIT SPI/QUAD 8SOIC,W25Q128JVS
44,1,U8,MCP2515-xSO,IC CAN CONTROLLER W/SPI 18SOIC,MCP2515-I/SO
45,1,U9,WS2815B,"12mA RGB SMD,5.4x5x1.65mm Light Emitting Diodes (LED) ROHS ",WS2815B
46,1,U10,RP2040,RP2040TR13,SC0914(13)
47,1,U310,RFM69HCW,RX TXRX MODULE ISM < 1GHZ SMD,COM-13909
48,1,Y2,16mhz,CRYSTAL 16.0000MHZ 8PF SMD,FA-20H 16.0000MF10Z-AJ5
49,1,Y3,12mhz,CRYSTAL 12.0000MHZ 8PF SMD,NX3225SA-12.000M-STD-CSR-1
